主层级,细分,来源网站,概念/题材,标的,代码,市场,来源页面,来源日期,来源等级,当前等级,第一变量,样本角色,下一步回源,证伪点,备注
终端与具身智能,机器人概念,东方财富,机器人概念,森源电气,002358,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,神剑股份,002361,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,汉王科技,002362,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,汉王科技,002362,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
应用平台,ChatGPT概念,东方财富,ChatGPT概念,汉王科技,002362,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1126,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,中恒电气,002364,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,中恒电气,002364,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
晶圆制造与材料,第三代半导体,东方财富,第三代半导体,中恒电气,002364,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0952,2026-07-05,B/C级页面线索,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,康力电梯,002367,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,卓翼科技,002369,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,千方科技,002373,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,新北洋,002376,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,新北洋,002376,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,科远智慧,002380,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,科远智慧,002380,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,科远智慧,002380,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
高速互联,光通信模块,东方财富,光通信模块,东山精密,002384,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1136,2026-07-05,B/C级页面线索,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,星网锐捷,002396,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
数据中心与基础设施,数据中心,东方财富,数据中心,星网锐捷,002396,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0922,2026-07-05,B/C级页面线索,L0/L1,机柜资源、上架率、利用率、融资成本,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润,页面可见成份股；未调用接口
高速互联,光通信模块,东方财富,光通信模块,星网锐捷,002396,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1136,2026-07-05,B/C级页面线索,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
高速互联,CPO概念,东方财富,CPO概念,星网锐捷,002396,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1128,2026-07-05,B/C级页面线索,L0/L1,速率升级、客户、订单、ASP、产能利用率,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
安全合规治理,网络安全,东方财富,网络安全,星网锐捷,002396,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0655,2026-07-05,B/C级页面线索,L0/L1,安全产品收入、政企客户、回款、合规需求,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
应用平台,AIGC概念,东方财富,AIGC概念,星网锐捷,002396,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1111,2026-07-05,B/C级页面线索,L0/L1,付费客户、续费、项目收入、调用量、OCF,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,垒知集团,002398,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
安全合规治理,数据安全,东方财富,数据安全,垒知集团,002398,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1047,2026-07-05,B/C级页面线索,L0/L1,安全产品收入、政企客户、回款、合规需求,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,中远海科,002401,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,和而泰,002402,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,和而泰,002402,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
晶圆制造与材料,第三代半导体,东方财富,第三代半导体,和而泰,002402,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0952,2026-07-05,B/C级页面线索,L0/L1,订单、客户、材料/设备收入、国产替代验证,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
终端与具身智能,减速器,东方财富,减速器,爱仕达,002403,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1100,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,爱仕达,002403,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,四维图新,002405,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,四维图新,002405,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,广联达,002410,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,雷科防务,002413,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,雷科防务,002413,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,高德红外,002414,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
计算芯片,华为昇腾,东方财富,华为昇腾,高德红外,002414,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0995,2026-07-05,B/C级页面线索,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,细分候选/组内补漏,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,海康威视,002415,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,海康威视,002415,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,海康威视,002415,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
终端与具身智能,人形机器人,东方财富,人形机器人,毅昌科技,002420,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,毅昌科技,002420,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,达实智能,002421,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
工具链与基础软件,边缘计算,东方财富,边缘计算,达实智能,002421,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0860,2026-07-05,B/C级页面线索,L0/L1,部署量、客户、收入、云边协同成本,细分候选/组内补漏,回源年报、IR、产品价格、客户案例和收入/续费字段,只有发布会/题材标签，未形成付费、续费、合同或收入验证,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,凯撒文化,002425,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,AIPC,东方财富,AIPC,胜利精密,002426,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1164,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人执行器,东方财富,机器人执行器,万里扬,002434,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1145,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,减速器,东方财富,减速器,万里扬,002434,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1100,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,人形机器人,东方财富,人形机器人,万里扬,002434,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,万里扬,002434,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,兴森科技,002436,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,启明星辰,002439,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,众业达,002441,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,巨星科技,002444,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,巨星科技,002444,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,中原内配,002448,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,国星光电,002449,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,人形机器人,东方财富,人形机器人,欧菲光,002456,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,人形机器人,东方财富,人形机器人,赣锋锂业,002460,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1184,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
待二次归类,人工智能,东方财富,人工智能,海格通信,002465,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
计算芯片,国产芯片,东方财富,国产芯片,海格通信,002465,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0891,2026-07-05,B/C级页面线索,L0/L1,芯片出货、客户导入、国产替代、端侧/推理渗透,题材外溢/低纯度观察,回源公告、年报、订单、客户、产能、毛利率和现金流字段,客户、订单、收入或毛利无法连续验证，CapEx先行但回报不足,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,二六三,002467,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,中超控股,002471,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人执行器,东方财富,机器人执行器,双环传动,002472,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1145,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,减速器,东方财富,减速器,双环传动,002472,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1100,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,细分候选/组内补漏,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口
终端与具身智能,机器人概念,东方财富,机器人概念,双环传动,002472,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
待二次归类,人工智能,东方财富,人工智能,榕基软件,002474,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0800,2026-07-05,B/C级页面线索,L0/L1,待补第一变量,题材外溢/低纯度观察,按细分补公告、年报、IR或产品页回源,无法回源到正式经营变量，维持L0/L1或剔除,页面可见成份股；未调用接口；需二次纯度清洗
终端与具身智能,机器人概念,东方财富,机器人概念,立讯精密,002475,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK1090,2026-07-05,B/C级页面线索,L0/L1,出货、客户定点、BOM价值量、机器人/端侧收入占比,题材外溢/低纯度观察,回源产品页、渠道动销、客户定点、出货、退货率和收入拆分,定点/出货不兑现，渠道退货高，硬件或订阅收入无法拆出,页面可见成份股；未调用接口；需二次纯度清洗
数据中心与基础设施,数据中心,东方财富,数据中心,立讯精密,002475,A股-深市,https://quote.eastmoney.com/center/boardlist.html#boards2-90.BK0922,2026-07-05,B/C级页面线索,L0/L1,机柜资源、上架率、利用率、融资成本,细分候选/组内补漏,回源公告/合同/定期报告，补服务期、交付起租、利用率、应收回款和OCF,两个报告期内无收入/回款/利用率改善，或融资成本吞噬利润,页面可见成份股；未调用接口
